SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,m_nodeSpeed
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2,5.12,10,10,protocol,7.5,400,4334,10.835,240,222,0.925,0.905882,0.884298,0.848072,0.819257,0.765537,0.68931,0.68931,0.68931,0.68931,0.426427,6
3,13.824,27,10,protocol,7.5,400,4219,10.5475,248,226,0.91129,0.880361,0.875579,0.849899,0.815904,0.747475,0.670588,0.670588,0.670588,0.670588,0.524332,6
4,19.968,39,10,protocol,7.5,400,4382,10.955,260,246,0.946154,0.870197,0.873232,0.855548,0.828208,0.767673,0.695114,0.695114,0.695114,0.695114,0.502733,6
5,17.408,34,10,protocol,7.5,400,4539,11.3475,278,261,0.938849,0.917008,0.90397,0.878065,0.851622,0.791789,0.724298,0.724298,0.724298,0.724298,0.480364,6
6,18.432,36,10,protocol,7.5,400,4203,10.5075,300,280,0.933333,0.884615,0.84298,0.813923,0.788826,0.73424,0.669108,0.669108,0.669108,0.669108,0.478338,6
7,17.408,34,10,protocol,7.5,400,4392,10.98,324,305,0.941358,0.905433,0.862527,0.839292,0.807443,0.758399,0.698251,0.698251,0.698251,0.698251,0.477828,6
8,17.92,35,10,protocol,7.5,400,4480,11.2,350,325,0.928571,0.886386,0.875789,0.857332,0.82548,0.773245,0.709284,0.709284,0.709284,0.709284,0.473225,6
9,18.432,36,10,protocol,7.5,400,4333,10.8325,362,328,0.906077,0.87574,0.880355,0.839961,0.80137,0.754602,0.67799,0.67799,0.67799,0.67799,0.494148,6
10,17.92,35,10,protocol,7.5,400,4385,10.9625,368,338,0.918478,0.891616,0.880952,0.838657,0.80333,0.75502,0.685643,0.685643,0.685643,0.685643,0.482805,6
11,18.432,36,10,protocol,7.5,400,4553,11.3825,336,315,0.9375,0.915133,0.899059,0.863214,0.829438,0.782443,0.709476,0.709476,0.709476,0.709476,0.474061,6
12,18.432,36,10,protocol,7.5,400,4443,11.1075,312,295,0.945513,0.898288,0.864113,0.84258,0.808155,0.764674,0.692272,0.692272,0.692272,0.692272,0.468397,6
13,17.408,34,10,protocol,7.5,400,4510,11.275,352,338,0.960227,0.917178,0.889947,0.859427,0.820421,0.769896,0.707803,0.707803,0.707803,0.707803,0.463142,6
14,18.944,37,10,protocol,7.5,400,4500,11.25,360,326,0.905556,0.898357,0.874473,0.843915,0.804004,0.764324,0.707724,0.707724,0.707724,0.707724,0.457937,6
15,18.432,36,10,protocol,7.5,400,4323,10.8075,358,330,0.921788,0.886228,0.840838,0.803236,0.770815,0.731308,0.678448,0.678448,0.678448,0.678448,0.454016,6
16,18.432,36,10,protocol,7.5,400,4577,11.4425,327,296,0.905199,0.894836,0.877202,0.845249,0.814918,0.774303,0.713885,0.713885,0.713885,0.713885,0.448948,6
17,18.432,36,10,protocol,7.5,400,4326,10.815,334,312,0.934132,0.876866,0.858264,0.813008,0.773978,0.730486,0.670127,0.670127,0.670127,0.670127,0.450416,6
18,18.432,36,10,protocol,7.5,400,4279,10.6975,288,256,0.888889,0.871648,0.844287,0.79441,0.761339,0.721596,0.657138,0.657138,0.657138,0.657138,0.456775,6
19,17.92,35,10,protocol,7.5,400,4655,11.6375,268,258,0.962687,0.9125,0.895395,0.855082,0.823415,0.782508,0.709796,0.709796,0.709796,0.709796,0.464626,6
20,18.432,36,10,protocol,7.5,400,4306,10.765,258,233,0.903101,0.84749,0.835763,0.80283,0.769773,0.71958,0.653905,0.653905,0.653905,0.653905,0.468481,6
21,16.896,33,10,protocol,7.5,400,4615,11.5375,252,225,0.892857,0.883698,0.869439,0.849063,0.812487,0.768198,0.700547,0.700547,0.700547,0.700547,0.468278,6
22,18.944,37,10,protocol,7.5,400,4427,11.0675,278,256,0.920863,0.879167,0.836538,0.800623,0.771587,0.734186,0.672388,0.672388,0.672388,0.672388,0.467763,6
23,18.432,36,10,protocol,7.5,400,4763,11.9075,262,250,0.954198,0.92562,0.891117,0.859878,0.833691,0.790495,0.719184,0.719184,0.719184,0.719184,0.46324,6
24,18.432,36,10,protocol,7.5,400,4499,11.2475,274,252,0.919708,0.880165,0.841337,0.809281,0.78414,0.74572,0.670644,0.670644,0.670644,0.670644,0.459415,6
25,18.944,37,10,protocol,7.5,400,4903,12.2575,238,228,0.957983,0.937238,0.90879,0.882318,0.8583,0.809777,0.732258,0.732258,0.732258,0.732258,0.459383,6
