SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,m_nodeSpeed
26,19.456,38,10,protocol,7.5,400,4502,11.255,200,178,0.89,0.865904,0.838679,0.802494,0.779251,0.741725,0.677303,0.677303,0.677303,0.677303,0.455728,6
27,18.432,36,10,protocol,7.5,400,4504,11.26,222,204,0.918919,0.859312,0.826824,0.794152,0.771849,0.732807,0.668598,0.668598,0.668598,0.668598,0.462824,6
28,18.432,36,10,protocol,7.5,400,4394,10.985,222,187,0.842342,0.846078,0.811437,0.772542,0.753656,0.718739,0.643946,0.643946,0.643946,0.643946,0.460522,6
29,18.432,36,10,protocol,7.5,400,4641,11.6025,240,227,0.945833,0.871094,0.837231,0.807939,0.790134,0.751474,0.680951,0.680951,0.680951,0.680951,0.461767,6
30,20.48,40,10,protocol,7.5,400,4822,12.055,240,227,0.945833,0.896353,0.855349,0.837121,0.813369,0.776618,0.707722,0.707722,0.707722,0.707722,0.45924,6
31,17.408,34,10,protocol,7.5,400,4413,11.0325,244,222,0.909836,0.848756,0.815257,0.789244,0.757825,0.712584,0.648018,0.648018,0.648018,0.648018,0.458969,6
32,20.992,41,10,protocol,7.5,400,4590,11.475,262,231,0.881679,0.859848,0.825229,0.804574,0.77943,0.739785,0.672727,0.672727,0.672727,0.672727,0.459629,6
33,17.92,35,10,protocol,7.5,400,4901,12.2525,240,234,0.975,0.917137,0.886654,0.856813,0.824845,0.779695,0.718961,0.718961,0.718961,0.718961,0.457284,6
34,17.408,34,10,protocol,7.5,400,4912,12.28,240,225,0.9375,0.921992,0.879946,0.855401,0.831603,0.779298,0.717982,0.717982,0.717982,0.717982,0.458009,6
35,15.872,31,10,protocol,7.5,400,4740,11.85,258,234,0.906977,0.866935,0.834375,0.814062,0.795193,0.752099,0.689154,0.689154,0.689154,0.689154,0.457675,6
36,15.872,31,10,protocol,7.5,400,4735,11.8375,277,261,0.942238,0.89645,0.858307,0.831683,0.806655,0.751582,0.686992,0.686992,0.686992,0.686992,0.4566,6
37,13.824,27,10,protocol,7.5,400,4660,11.65,276,247,0.894928,0.839321,0.810848,0.807781,0.79083,0.738876,0.67566,0.67566,0.67566,0.67566,0.459056,6
38,14.336,28,10,protocol,7.5,400,4787,11.9675,259,243,0.938224,0.872277,0.843253,0.831132,0.811184,0.759123,0.698948,0.698948,0.698948,0.698948,0.457153,6
39,14.336,28,10,protocol,7.5,400,4471,11.1775,230,209,0.908696,0.831407,0.802208,0.777684,0.754115,0.704153,0.653464,0.653464,0.653464,0.653464,0.458259,6
40,13.824,27,10,protocol,7.5,400,4689,11.7225,220,207,0.940909,0.863462,0.831481,0.813304,0.791443,0.738222,0.678783,0.678783,0.678783,0.678783,0.458783,6
41,15.36,30,10,protocol,7.5,400,4834,12.085,220,201,0.913636,0.879182,0.845685,0.818672,0.797419,0.753884,0.697258,0.697258,0.697258,0.697258,0.458078,6
42,17.408,34,10,protocol,7.5,400,4893,12.2325,236,214,0.90678,0.861468,0.83972,0.826858,0.80463,0.764088,0.707815,0.707815,0.707815,0.707815,0.458132,6
43,16.896,33,10,protocol,7.5,400,4621,11.5525,224,209,0.933036,0.863971,0.823232,0.799778,0.767814,0.725979,0.664891,0.664891,0.664891,0.664891,0.456944,6
44,16.896,33,10,protocol,7.5,400,4722,11.805,272,238,0.875,0.847197,0.826465,0.810459,0.782749,0.739181,0.669124,0.669124,0.669124,0.669124,0.456016,6
45,16.384,32,10,protocol,7.5,400,4714,11.785,269,235,0.873606,0.816787,0.807073,0.785792,0.767778,0.730782,0.666054,0.666054,0.666054,0.666054,0.454645,6
46,15.36,30,10,protocol,7.5,400,4661,11.6525,259,231,0.891892,0.819073,0.800173,0.778284,0.759289,0.725306,0.656382,0.656382,0.656382,0.656382,0.458766,6
47,18.944,37,10,protocol,7.5,400,4700,11.75,258,218,0.844961,0.816522,0.790917,0.775067,0.762328,0.727948,0.657063,0.657063,0.657063,0.657063,0.462414,6
48,17.408,34,10,protocol,7.5,400,4524,11.31,242,218,0.900826,0.819716,0.785284,0.760484,0.734375,0.698287,0.634146,0.634146,0.634146,0.634146,0.463834,6
49,17.92,35,10,protocol,7.5,400,4904,12.26,248,223,0.899194,0.847628,0.8172,0.808585,0.789474,0.751974,0.685315,0.685315,0.685315,0.685315,0.463055,6
50,18.432,36,10,protocol,7.5,400,5044,12.61,250,232,0.928,0.875954,0.847185,0.826028,0.807785,0.774934,0.704485,0.704485,0.704485,0.704485,0.462934,6
51,18.432,36,10,protocol,7.5,400,4644,11.61,260,223,0.857692,0.812963,0.792661,0.779775,0.757303,0.712764,0.647962,0.647962,0.647962,0.647962,0.462971,6
52,17.408,34,10,protocol,7.5,400,5111,12.7775,234,206,0.880342,0.872531,0.853829,0.843915,0.820661,0.782233,0.710175,0.710175,0.710175,0.710175,0.463379,6
53,16.384,32,10,protocol,7.5,400,4875,12.1875,222,196,0.882883,0.837931,0.820657,0.804083,0.779976,0.742349,0.677558,0.677558,0.677558,0.677558,0.46196,6
54,16.384,32,10,protocol,7.5,400,4752,11.88,228,200,0.877193,0.852686,0.815678,0.780852,0.759698,0.721918,0.658763,0.658763,0.658763,0.658763,0.461317,6
55,16.384,32,10,protocol,7.5,400,4886,12.215,244,216,0.885246,0.843585,0.823031,0.802174,0.781934,0.740023,0.672817,0.672817,0.672817,0.672817,0.461087,6
56,15.872,31,10,protocol,7.5,400,4644,11.61,260,245,0.942308,0.892015,0.838004,0.790736,0.757316,0.707796,0.640099,0.640099,0.640099,0.640099,0.460606,6
57,16.896,33,10,protocol,7.5,400,4690,11.725,276,257,0.931159,0.862454,0.815997,0.783542,0.755781,0.707544,0.646345,0.646345,0.646345,0.646345,0.462237,6
58,13.824,27,10,protocol,7.5,400,4879,12.1975,312,289,0.926282,0.865094,0.841739,0.809235,0.78734,0.73798,0.674647,0.674647,0.674647,0.674647,0.461464,6
59,16.896,33,10,protocol,7.5,400,4909,12.2725,328,287,0.875,0.821429,0.809692,0.791146,0.779712,0.736281,0.678236,0.678236,0.678236,0.678236,0.460395,6
60,17.408,34,10,protocol,7.5,400,4509,11.2725,340,308,0.905882,0.838739,0.782436,0.740531,0.720346,0.675851,0.616721,0.616721,0.616721,0.616721,0.469514,6
61,19.456,38,10,protocol,7.5,400,5038,12.595,326,300,0.920245,0.87613,0.843129,0.812789,0.790386,0.751704,0.687415,0.687415,0.687415,0.687415,0.468526,6
62,16.896,33,10,protocol,7.5,400,4700,11.75,320,275,0.859375,0.801818,0.75957,0.745408,0.727838,0.695217,0.64365,0.64365,0.64365,0.64365,0.471198,6
63,22.016,43,10,protocol,7.5,400,5070,12.675,312,295,0.945513,0.889388,0.849255,0.811891,0.792008,0.750201,0.692066,0.692066,0.692066,0.692066,0.472053,6
64,20.48,40,10,protocol,7.5,400,5100,12.75,300,290,0.966667,0.91331,0.857584,0.820373,0.79375,0.754768,0.695961,0.695961,0.695961,0.695961,0.47085,6
65,20.48,40,10,protocol,7.5,400,4863,12.1575,310,274,0.883871,0.833907,0.801231,0.774143,0.755651,0.714445,0.663707,0.663707,0.663707,0.663707,0.470684,6
66,16.896,33,10,protocol,7.5,400,4676,11.69,318,270,0.849057,0.805627,0.772846,0.743187,0.722936,0.685456,0.632512,0.632512,0.632512,0.632512,0.474171,6
67,16.384,32,10,protocol,7.5,400,4862,12.155,292,254,0.869863,0.812663,0.78181,0.750589,0.738867,0.70516,0.655168,0.655168,0.655168,0.655168,0.472417,6
68,14.848,29,10,protocol,7.5,400,4869,12.1725,312,272,0.871795,0.834197,0.800849,0.768773,0.759136,0.708385,0.651755,0.651755,0.651755,0.651755,0.47142,6
69,14.336,28,10,protocol,7.5,400,4844,12.11,320,270,0.84375,0.825043,0.793319,0.757357,0.740916,0.700596,0.642819,0.642819,0.642819,0.642819,0.470452,6
70,16.384,32,10,protocol,7.5,400,4947,12.3675,310,278,0.896774,0.853765,0.81103,0.781106,0.758695,0.713681,0.657056,0.657056,0.657056,0.657056,0.469842,6
71,19.456,38,10,protocol,7.5,400,5096,12.74,332,276,0.831325,0.821612,0.811138,0.792029,0.77364,0.731227,0.672384,0.672384,0.672384,0.672384,0.468959,6
72,19.968,39,10,protocol,7.5,400,4575,11.4375,350,286,0.817143,0.780717,0.747329,0.722081,0.697178,0.656009,0.603298,0.603298,0.603298,0.603298,0.472313,6
73,18.432,36,10,protocol,7.5,400,5235,13.0875,324,299,0.92284,0.870915,0.831281,0.80041,0.776066,0.741211,0.686975,0.686975,0.686975,0.686975,0.471034,6
74,18.432,36,10,protocol,7.5,400,5163,12.9075,306,287,0.937908,0.871567,0.832126,0.799897,0.768886,0.732965,0.672135,0.672135,0.672135,0.672135,0.469775,6
75,18.432,36,10,protocol,7.5,400,5249,13.1225,330,301,0.912121,0.852381,0.832143,0.807575,0.787103,0.743723,0.684685,0.684685,0.684685,0.684685,0.468367,6
76,16.896,33,10,protocol,7.5,400,4924,12.31,366,326,0.89071,0.827856,0.795526,0.763742,0.742045,0.694676,0.636411,0.636411,0.636411,0.636411,0.468079,6
77,19.968,39,10,protocol,7.5,400,5215,13.0375,400,368,0.92,0.870994,0.832171,0.798489,0.768536,0.72806,0.674082,0.674082,0.674082,0.674082,0.469919,6
78,17.92,35,10,protocol,7.5,400,4979,12.4475,414,351,0.847826,0.802326,0.778409,0.751193,0.732737,0.698187,0.643559,0.643559,0.643559,0.643559,0.469815,6
79,19.456,38,10,protocol,7.5,400,4965,12.4125,426,377,0.884977,0.813178,0.779468,0.74758,0.723175,0.692901,0.643914,0.643914,0.643914,0.643914,0.471081,6
80,18.432,36,10,protocol,7.5,400,5050,12.625,419,375,0.894988,0.840678,0.804916,0.77207,0.740163,0.704628,0.650452,0.650452,0.650452,0.650452,0.471646,6
81,18.432,36,10,protocol,7.5,400,5199,12.9975,380,352,0.926316,0.868771,0.832422,0.796756,0.766027,0.727574,0.667137,0.667137,0.667137,0.667137,0.471241,6
82,18.944,37,10,protocol,7.5,400,5135,12.8375,367,330,0.899183,0.840461,0.795715,0.7737,0.746927,0.710566,0.657611,0.657611,0.657611,0.657611,0.471309,6
83,18.432,36,10,protocol,7.5,400,5220,13.05,384,346,0.901042,0.852989,0.810966,0.779939,0.755755,0.721837,0.663107,0.663107,0.663107,0.663107,0.470792,6
84,18.432,36,10,protocol,7.5,400,5287,13.2175,378,347,0.917989,0.828906,0.797226,0.776251,0.757117,0.727355,0.670134,0.670134,0.670134,0.670134,0.470025,6
85,18.944,37,10,protocol,7.5,400,5077,12.6925,340,303,0.891176,0.819527,0.782543,0.745199,0.724169,0.695155,0.641107,0.641107,0.641107,0.641107,0.470175,6
86,18.432,36,10,protocol,7.5,400,5314,13.285,348,315,0.905172,0.850812,0.808891,0.775273,0.750708,0.724057,0.668344,0.668344,0.668344,0.668344,0.469832,6
87,18.432,36,10,protocol,7.5,400,5454,13.635,366,337,0.920765,0.865269,0.811605,0.787752,0.767184,0.73478,0.684845,0.684845,0.684845,0.684845,0.46868,6
88,20.48,40,10,protocol,7.5,400,4894,12.235,376,328,0.87234,0.794118,0.739326,0.719951,0.6893,0.657002,0.610861,0.610861,0.610861,0.610861,0.467957,6
89,18.432,36,10,protocol,7.5,400,5132,12.83,332,289,0.870482,0.809456,0.769058,0.747603,0.721198,0.687084,0.635812,0.635812,0.635812,0.635812,0.467911,6
90,17.92,35,10,protocol,7.5,400,5115,12.7875,302,276,0.913907,0.820567,0.778069,0.743128,0.718127,0.687137,0.636737,0.636737,0.636737,0.636737,0.467504,6
91,17.92,35,10,protocol,7.5,400,5079,12.6975,302,268,0.887417,0.825318,0.773495,0.738285,0.714234,0.675296,0.630932,0.630932,0.630932,0.630932,0.467176,6
92,18.432,36,10,protocol,7.5,400,5123,12.8075,354,326,0.920904,0.829286,0.776316,0.742544,0.723136,0.681349,0.629921,0.629921,0.629921,0.629921,0.4659,6
93,18.432,36,10,protocol,7.5,400,4999,12.4975,360,322,0.894444,0.820768,0.76138,0.715888,0.698295,0.66269,0.609634,0.609634,0.609634,0.609634,0.466058,6
94,17.408,34,10,protocol,7.5,400,5417,13.5425,330,306,0.927273,0.865819,0.806583,0.783399,0.760065,0.715186,0.656724,0.656724,0.656724,0.656724,0.466381,6
95,16.896,33,10,protocol,7.5,400,5465,13.6625,326,297,0.911043,0.865734,0.816066,0.780939,0.760093,0.721953,0.660498,0.660498,0.660498,0.660498,0.467535,6
96,17.92,35,10,protocol,7.5,400,5340,13.35,328,301,0.917683,0.838215,0.79209,0.75747,0.734369,0.701141,0.646596,0.646596,0.646596,0.646596,0.46833,6
97,18.432,36,10,protocol,7.5,400,5467,13.6675,342,311,0.909357,0.834932,0.799852,0.779252,0.75418,0.716629,0.660818,0.660818,0.660818,0.660818,0.468819,6
98,17.408,34,10,protocol,7.5,400,5309,13.2725,378,325,0.859788,0.80429,0.763808,0.742135,0.723468,0.692055,0.638254,0.638254,0.638254,0.638254,0.470046,6
99,18.432,36,10,protocol,7.5,400,5483,13.7075,420,367,0.87381,0.836218,0.787934,0.763529,0.740555,0.71197,0.656482,0.656482,0.656482,0.656482,0.468933,6
100,17.92,35,10,protocol,7.5,400,5078,12.695,396,325,0.820707,0.795765,0.744306,0.714453,0.687911,0.658488,0.607587,0.607587,0.607587,0.607587,0.468504,6
101,18.432,36,10,protocol,7.5,400,5574,13.935,356,332,0.932584,0.851983,0.811029,0.770896,0.750343,0.721178,0.661601,0.661601,0.661601,0.661601,0.467616,6
102,18.432,36,10,protocol,7.5,400,5409,13.5225,340,314,0.923529,0.844086,0.791362,0.747142,0.721193,0.700056,0.64036,0.64036,0.64036,0.64036,0.468704,6
103,20.48,40,10,protocol,7.5,400,5254,13.135,338,300,0.887574,0.801987,0.751852,0.718921,0.69665,0.673125,0.62285,0.62285,0.62285,0.62285,0.468181,6
104,17.92,35,10,protocol,7.5,400,5427,13.5675,330,289,0.875758,0.822062,0.787712,0.750689,0.720657,0.693315,0.644334,0.644334,0.644334,0.644334,0.467795,6
105,16.384,32,10,protocol,7.5,400,5502,13.755,358,330,0.921788,0.844673,0.781919,0.747192,0.726298,0.702748,0.656086,0.656086,0.656086,0.656086,0.467073,6
106,17.92,35,10,protocol,7.5,400,5403,13.5075,388,348,0.896907,0.816667,0.785556,0.744282,0.717355,0.684479,0.6386,0.6386,0.6386,0.6386,0.466305,6
107,19.456,38,10,protocol,7.5,400,5394,13.485,388,364,0.938144,0.842904,0.791126,0.74789,0.715913,0.683536,0.629025,0.629025,0.629025,0.629025,0.465656,6
108,20.48,40,10,protocol,7.5,400,5366,13.415,426,367,0.861502,0.843668,0.79209,0.757715,0.717101,0.679713,0.619658,0.619658,0.619658,0.619658,0.464538,6
109,20.48,40,10,protocol,7.5,400,5418,13.545,460,403,0.876087,0.835092,0.782839,0.740648,0.707771,0.677437,0.624078,0.624078,0.624078,0.624078,0.463843,6
110,20.48,40,10,protocol,7.5,400,5532,13.83,466,413,0.886266,0.815041,0.775874,0.735978,0.713079,0.684317,0.637569,0.637569,0.637569,0.637569,0.462716,6
111,20.48,40,10,protocol,7.5,400,5660,14.15,450,409,0.908889,0.850202,0.794057,0.753728,0.725116,0.694422,0.651093,0.651093,0.651093,0.651093,0.461714,6
112,20.48,40,10,protocol,7.5,400,5490,13.725,476,423,0.888655,0.826974,0.781381,0.736494,0.70656,0.674552,0.627057,0.627057,0.627057,0.627057,0.461446,6
113,20.48,40,10,protocol,7.5,400,5440,13.6,458,397,0.866812,0.815345,0.761773,0.723735,0.698935,0.662523,0.617787,0.617787,0.617787,0.617787,0.461422,6
114,18.432,36,10,protocol,7.5,400,5578,13.945,440,385,0.875,0.803109,0.752941,0.721263,0.698607,0.672935,0.633174,0.633174,0.633174,0.633174,0.461966,6
115,22.016,43,10,protocol,7.5,400,5604,14.01,477,432,0.90566,0.830769,0.786351,0.747828,0.713717,0.674175,0.633752,0.633752,0.633752,0.633752,0.462115,6
116,20.48,40,10,protocol,7.5,400,5972,14.93,446,407,0.912556,0.854115,0.812716,0.776712,0.755695,0.719869,0.671578,0.671578,0.671578,0.671578,0.461652,6
117,20.48,40,10,protocol,7.5,400,5520,13.8,442,402,0.909502,0.833748,0.765306,0.720113,0.697089,0.660712,0.622518,0.622518,0.622518,0.622518,0.461369,6
118,20.48,40,10,protocol,7.5,400,5623,14.0575,422,389,0.921801,0.827673,0.763268,0.727431,0.703939,0.670773,0.631887,0.631887,0.631887,0.631887,0.460309,6
119,19.968,39,10,protocol,7.5,400,5670,14.175,440,396,0.9,0.814496,0.769177,0.72835,0.707301,0.676143,0.63374,0.63374,0.63374,0.63374,0.460143,6
120,20.48,40,10,protocol,7.5,400,5486,13.715,404,363,0.898515,0.824108,0.758098,0.708602,0.680987,0.65455,0.611917,0.611917,0.611917,0.611917,0.461515,6
121,20.48,40,10,protocol,7.5,400,5392,13.48,406,361,0.889163,0.806162,0.764887,0.715383,0.677372,0.645178,0.600758,0.600758,0.600758,0.600758,0.461955,6
122,18.944,37,10,protocol,7.5,400,5959,14.8975,390,347,0.889744,0.83871,0.788908,0.762882,0.738862,0.711708,0.665215,0.665215,0.665215,0.665215,0.462125,6
123,19.968,39,10,protocol,7.5,400,5959,14.8975,380,335,0.881579,0.827819,0.780439,0.765,0.743835,0.714506,0.667339,0.667339,0.667339,0.667339,0.461366,6
124,19.968,39,10,protocol,7.5,400,5755,14.3875,396,365,0.921717,0.844173,0.791749,0.753853,0.725105,0.689699,0.646662,0.646662,0.646662,0.646662,0.463533,6
125,18.944,37,10,protocol,7.5,400,5224,13.06,388,340,0.876289,0.800694,0.720246,0.685377,0.661906,0.625991,0.583091,0.583091,0.583091,0.583091,0.466229,6
126,22.016,43,10,protocol,7.5,400,5834,14.585,392,366,0.933673,0.857544,0.795087,0.75845,0.730508,0.69641,0.648072,0.648072,0.648072,0.648072,0.46903,6
127,20.48,40,10,protocol,7.5,400,5855,14.6375,414,372,0.898551,0.840621,0.795627,0.757166,0.730161,0.696314,0.651525,0.651525,0.651525,0.651525,0.468332,6
128,20.48,40,10,protocol,7.5,400,5752,14.38,410,347,0.846341,0.828691,0.770807,0.737255,0.711157,0.684022,0.639031,0.639031,0.639031,0.639031,0.467794,6
129,20.48,40,10,protocol,7.5,400,5834,14.585,422,379,0.898104,0.850474,0.786503,0.748239,0.724396,0.69279,0.648721,0.648721,0.648721,0.648721,0.467002,6
130,20.48,40,10,protocol,7.5,400,5568,13.92,442,385,0.871041,0.789229,0.748459,0.713063,0.685381,0.659729,0.61524,0.61524,0.61524,0.61524,0.46697,6
131,19.968,39,10,protocol,7.5,400,5938,14.845,450,393,0.873333,0.822951,0.776763,0.749897,0.728897,0.702965,0.653596,0.653596,0.653596,0.653596,0.4679,6
132,18.944,37,10,protocol,7.5,400,5312,13.28,474,396,0.835443,0.774522,0.711452,0.675532,0.653834,0.628703,0.578827,0.578827,0.578827,0.578827,0.469692,6
133,20.48,40,10,protocol,7.5,400,5675,14.1875,482,422,0.875519,0.801266,0.747416,0.7232,0.700189,0.668113,0.616095,0.616095,0.616095,0.616095,0.469372,6
134,20.48,40,10,protocol,7.5,400,6080,15.2,508,460,0.905512,0.847649,0.790856,0.758078,0.738274,0.711682,0.655239,0.655239,0.655239,0.655239,0.469305,6
135,18.432,36,10,protocol,7.5,400,5382,13.455,514,444,0.863813,0.781559,0.718894,0.678629,0.655462,0.628119,0.579974,0.579974,0.579974,0.579974,0.468392,6
136,18.432,36,10,protocol,7.5,400,6090,15.225,514,458,0.891051,0.812883,0.788231,0.755267,0.73263,0.705451,0.657696,0.657696,0.657696,0.657696,0.467831,6
137,18.432,36,10,protocol,7.5,400,6060,15.15,508,459,0.903543,0.829012,0.787409,0.755506,0.72764,0.701642,0.65143,0.65143,0.65143,0.65143,0.466975,6
138,18.432,36,10,protocol,7.5,400,5932,14.83,498,441,0.885542,0.81026,0.764901,0.730476,0.707112,0.686076,0.640942,0.640942,0.640942,0.640942,0.468587,6
139,18.432,36,10,protocol,7.5,400,6338,15.845,502,429,0.854582,0.825272,0.795232,0.769389,0.754543,0.729747,0.680559,0.680559,0.680559,0.680559,0.467742,6
140,17.408,34,10,protocol,7.5,400,5596,13.99,524,440,0.839695,0.784431,0.736039,0.695893,0.675188,0.646205,0.599593,0.599593,0.599593,0.599593,0.469945,6
141,17.92,35,10,protocol,7.5,400,5823,14.5575,500,442,0.884,0.832641,0.775142,0.729857,0.705265,0.673682,0.626196,0.626196,0.626196,0.626196,0.47021,6
142,18.432,36,10,protocol,7.5,400,5883,14.7075,498,450,0.903614,0.843599,0.790727,0.749745,0.712305,0.676058,0.633086,0.633086,0.633086,0.633086,0.47041,6
143,18.432,36,10,protocol,7.5,400,6079,15.1975,472,403,0.853814,0.796837,0.753764,0.728782,0.719739,0.69403,0.653441,0.653441,0.653441,0.653441,0.469671,6
144,17.408,34,10,protocol,7.5,400,5877,14.6925,444,383,0.862613,0.801205,0.742509,0.708958,0.693798,0.67096,0.633571,0.633571,0.633571,0.633571,0.469506,6
145,18.944,37,10,protocol,7.5,400,5988,14.97,420,362,0.861905,0.79878,0.761139,0.730622,0.713143,0.685023,0.648634,0.648634,0.648634,0.648634,0.469516,6
146,18.432,36,10,protocol,7.5,400,5930,14.825,396,364,0.919192,0.831853,0.775356,0.733952,0.713682,0.682221,0.645861,0.645861,0.645861,0.645861,0.468585,6
147,18.432,36,10,protocol,7.5,400,5495,13.7375,388,341,0.878866,0.781681,0.736699,0.697385,0.673581,0.638158,0.602964,0.602964,0.602964,0.602964,0.468319,6
148,17.92,35,10,protocol,7.5,400,5885,14.7125,378,337,0.891534,0.819136,0.777811,0.74499,0.715349,0.685614,0.646484,0.646484,0.646484,0.646484,0.469319,6
149,18.432,36,10,protocol,7.5,400,5861,14.6525,344,322,0.936047,0.817568,0.765804,0.734827,0.709791,0.681524,0.643453,0.643453,0.643453,0.643453,0.469844,6
150,18.432,36,10,protocol,7.5,400,5610,14.025,352,305,0.866477,0.790382,0.732764,0.699068,0.679344,0.652353,0.610518,0.610518,0.610518,0.610518,0.470839,6
151,16.896,33,10,protocol,7.5,400,5918,14.795,376,334,0.888298,0.822464,0.770563,0.75,0.728244,0.694862,0.643728,0.643728,0.643728,0.643728,0.470932,6
152,16.384,32,10,protocol,7.5,400,6159,15.3975,404,367,0.908416,0.847995,0.802011,0.775154,0.753563,0.726308,0.678422,0.678422,0.678422,0.678422,0.470609,6
153,18.432,36,10,protocol,7.5,400,5423,13.5575,390,337,0.864103,0.784568,0.7289,0.683399,0.662916,0.642176,0.599182,0.599182,0.599182,0.599182,0.471526,6
