SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,m_nodeSpeed
531,17.408,34,10,protocol,7.5,400,4786,11.965,300,280,0.933333,0.911765,0.873491,0.842477,0.821549,0.760877,0.702882,0.702882,0.702882,0.702882,0.462352,24
532,17.92,35,10,protocol,7.5,400,4676,11.69,264,249,0.943182,0.886608,0.85118,0.813928,0.793075,0.745768,0.689879,0.689879,0.689879,0.689879,0.462615,24
533,15.36,30,10,protocol,7.5,400,4375,10.9375,282,254,0.900709,0.84144,0.804571,0.767355,0.741265,0.702856,0.644268,0.644268,0.644268,0.644268,0.462785,24
534,18.944,37,10,protocol,7.5,400,4660,11.65,262,260,0.992366,0.916501,0.865511,0.833724,0.803646,0.753891,0.69136,0.69136,0.69136,0.69136,0.462968,24
535,18.432,36,10,protocol,7.5,400,4607,11.5175,252,233,0.924603,0.862823,0.828812,0.814439,0.788157,0.747387,0.673738,0.673738,0.673738,0.673738,0.462983,24
536,17.92,35,10,protocol,7.5,400,4556,11.39,270,251,0.92963,0.862554,0.841406,0.810859,0.786577,0.739343,0.665158,0.665158,0.665158,0.665158,0.462948,24
537,18.432,36,10,protocol,7.5,400,4744,11.86,278,269,0.967626,0.92539,0.886865,0.85203,0.825217,0.775542,0.697969,0.697969,0.697969,0.697969,0.462882,24
538,18.432,36,10,protocol,7.5,400,4451,11.1275,298,280,0.939597,0.866812,0.824378,0.79946,0.770273,0.724382,0.645957,0.645957,0.645957,0.645957,0.462883,24
539,17.408,34,10,protocol,7.5,400,4712,11.78,300,281,0.936667,0.920188,0.880529,0.852169,0.82214,0.77536,0.683295,0.683295,0.683295,0.683295,0.462913,24
540,19.456,38,10,protocol,7.5,400,4606,11.515,292,268,0.917808,0.904983,0.858936,0.838661,0.808267,0.756805,0.67641,0.67641,0.67641,0.67641,0.462977,24
541,17.408,34,10,protocol,7.5,400,4576,11.44,254,231,0.909449,0.887588,0.835776,0.813631,0.793088,0.748144,0.673439,0.673439,0.673439,0.673439,0.462901,24
542,19.968,39,10,protocol,7.5,400,4565,11.4125,240,224,0.933333,0.911991,0.852532,0.835579,0.802851,0.748244,0.675548,0.675548,0.675548,0.675548,0.462949,24
543,20.48,40,10,protocol,7.5,400,4475,11.1875,264,247,0.935606,0.865385,0.8195,0.809422,0.788845,0.730427,0.663405,0.663405,0.663405,0.663405,0.462818,24
544,20.48,40,10,protocol,7.5,400,4419,11.0475,280,259,0.925,0.872093,0.817693,0.796522,0.763991,0.715917,0.658318,0.658318,0.658318,0.658318,0.462885,24
545,20.48,40,10,protocol,7.5,400,4290,10.725,290,267,0.92069,0.872998,0.81327,0.785276,0.754555,0.692679,0.63631,0.63631,0.63631,0.63631,0.462824,24
546,20.48,40,10,protocol,7.5,400,4627,11.5675,287,271,0.944251,0.902778,0.829747,0.819369,0.791963,0.740766,0.693034,0.693034,0.693034,0.693034,0.462753,24
547,19.456,38,10,protocol,7.5,400,4426,11.065,288,263,0.913194,0.868675,0.792558,0.767803,0.747361,0.703877,0.660693,0.660693,0.660693,0.660693,0.463151,24
548,20.48,40,10,protocol,7.5,400,4458,11.145,284,263,0.926056,0.858304,0.815861,0.802648,0.774587,0.720076,0.664431,0.664431,0.664431,0.664431,0.463024,24
549,16.896,33,10,protocol,7.5,400,4253,10.6325,259,225,0.868726,0.84265,0.790918,0.776946,0.747246,0.693672,0.637045,0.637045,0.637045,0.637045,0.463482,24
550,23.04,45,10,protocol,7.5,400,4596,11.49,257,252,0.980545,0.89378,0.860544,0.834689,0.810307,0.753553,0.695415,0.695415,0.695415,0.695415,0.463531,24
551,19.968,39,10,protocol,7.5,400,4766,11.915,290,262,0.903448,0.907579,0.889313,0.87338,0.838419,0.781617,0.724384,0.724384,0.724384,0.724384,0.463369,24
552,20.48,40,10,protocol,7.5,400,4425,11.0625,320,293,0.915625,0.856773,0.831579,0.796999,0.773302,0.727699,0.676039,0.676039,0.676039,0.676039,0.463249,24
553,20.48,40,10,protocol,7.5,400,4192,10.48,288,251,0.871528,0.828595,0.790578,0.760024,0.735466,0.691319,0.640532,0.640532,0.640532,0.640532,0.463387,24
554,19.968,39,10,protocol,7.5,400,4479,11.1975,264,248,0.939394,0.866197,0.836207,0.808328,0.78357,0.736442,0.683817,0.683817,0.683817,0.683817,0.46342,24
555,19.456,38,10,protocol,7.5,400,4530,11.325,270,244,0.903704,0.847711,0.808549,0.79065,0.779817,0.742193,0.690607,0.690607,0.690607,0.690607,0.463618,24
556,19.456,38,10,protocol,7.5,400,4581,11.4525,256,245,0.957031,0.843525,0.814912,0.8,0.785282,0.748284,0.695474,0.695474,0.695474,0.695474,0.463441,24
557,19.456,38,10,protocol,7.5,400,4468,11.17,266,243,0.913534,0.843173,0.807003,0.77942,0.76294,0.728478,0.677385,0.677385,0.677385,0.677385,0.46362,24
558,20.48,40,10,protocol,7.5,400,4599,11.4975,308,282,0.915584,0.873987,0.826125,0.803219,0.777337,0.741963,0.693213,0.693213,0.693213,0.693213,0.463791,24
559,20.48,40,10,protocol,7.5,400,4432,11.08,334,305,0.913174,0.851986,0.810579,0.772689,0.754801,0.716277,0.6704,0.6704,0.6704,0.6704,0.463693,24
