SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,m_nodeSpeed
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
2,4.096,8,10,protocol,7.5,400,4250,10.625,252,230,0.912698,0.859002,0.864454,0.844003,0.810544,0.74791,0.674286,0.674286,0.674286,0.674286,0.426785,12
3,14.848,29,10,protocol,7.5,400,4236,10.59,288,261,0.90625,0.862525,0.847639,0.819775,0.796908,0.737723,0.675223,0.675223,0.675223,0.675223,0.447654,12
4,15.872,31,10,protocol,7.5,400,4454,11.135,336,314,0.934524,0.906653,0.896406,0.860426,0.830957,0.774513,0.706284,0.706284,0.706284,0.706284,0.451805,12
5,16.384,32,10,protocol,7.5,400,4506,11.265,364,335,0.92033,0.908818,0.882755,0.846154,0.812287,0.773927,0.705008,0.705008,0.705008,0.705008,0.433216,12
6,16.384,32,10,protocol,7.5,400,4588,11.47,324,307,0.947531,0.91565,0.902094,0.872255,0.839526,0.786154,0.714864,0.714864,0.714864,0.714864,0.417732,12
7,15.872,31,10,protocol,7.5,400,4537,11.3425,356,326,0.91573,0.888434,0.868922,0.858234,0.822968,0.773136,0.712826,0.712826,0.712826,0.712826,0.406936,12
8,12.8,25,10,protocol,7.5,400,4562,11.405,342,330,0.964912,0.914563,0.877083,0.848203,0.814391,0.770251,0.713838,0.713838,0.713838,0.713838,0.408368,12
9,11.264,22,10,protocol,7.5,400,4223,10.5575,312,266,0.852564,0.862264,0.846708,0.807045,0.762171,0.721426,0.651489,0.651489,0.651489,0.651489,0.423773,12
