SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,m_nodeSpeed,n_nodes
729,20.48,40,10,protocol,7.5,1400,31020,22.1571,4020,2605,0.6480100000000001,0.514727,0.45604300000000003,0.421955,0.396351,0.36280999999999997,0.327325,0.327325,0.327325,0.327325,0.501795,20,140.0
113,15.872,31,10,protocol,7.5,800,13275,16.5938,998,828,0.829659,0.70705,0.661423,0.6272770000000001,0.591442,0.543514,0.486476,0.486476,0.486476,0.486476,0.499216,20,80.0
458,17.92,35,10,protocol,7.5,1100,17660,16.0545,2831,1775,0.626987,0.490188,0.4224,0.39293,0.365813,0.330363,0.295207,0.295207,0.295207,0.295207,0.51134,20,110.0
970,13.312000000000001,26,10,protocol,7.5,800,13195,16.4937,1482,1141,0.7699060000000001,0.6656479999999999,0.5949369999999999,0.564723,0.5367689999999999,0.4875020000000001,0.44077700000000003,0.44077700000000003,0.44077700000000003,0.44077700000000003,0.520357,20,80.0
604,16.384,32,10,protocol,7.5,500,7291,14.582,812,699,0.8608370000000001,0.794826,0.728648,0.703754,0.675987,0.632793,0.587761,0.587761,0.587761,0.587761,0.494909,20,50.0
616,12.288,24,10,protocol,7.5,1100,21769,19.79,2870,2136,0.744251,0.605093,0.53397,0.495327,0.4639390000000001,0.41834399999999994,0.376327,0.376327,0.376327,0.376327,0.510838,20,110.0
526,20.991999999999997,41,10,protocol,7.5,800,14555,18.1938,1572,1300,0.8269719999999999,0.737826,0.670981,0.632837,0.5897140000000001,0.544715,0.49736800000000003,0.49736800000000003,0.49736800000000003,0.49736800000000003,0.511603,20,80.0
96,12.288,24,10,protocol,7.5,1100,19592,17.8109,2547,1882,0.738909,0.598249,0.527667,0.4945890000000001,0.461501,0.41485,0.371475,0.371475,0.371475,0.371475,0.510632,20,110.0
388,13.312000000000001,26,10,protocol,7.5,1700,29596,17.4094,6678,3372,0.504942,0.36731199999999997,0.310856,0.28178000000000003,0.259858,0.23614699999999997,0.21086999999999997,0.21086999999999997,0.21086999999999997,0.21086999999999997,0.48369399999999996,20,170.0
501,10.24,20,10,protocol,7.5,1600,31514,19.6962,5914,3507,0.593,0.44484399999999996,0.378366,0.342308,0.317969,0.288749,0.26003899999999996,0.26003899999999996,0.26003899999999996,0.26003899999999996,0.4844100000000001,20,160.0
639,19.968,39,10,protocol,7.5,200,1424,7.12,80,79,0.9875,0.98,0.95,0.952153,0.951699,0.9305969999999999,0.837059,0.837059,0.837059,0.837059,0.402023,20,20.0
822,17.92,35,10,protocol,7.5,500,6618,13.235999999999999,743,651,0.876178,0.8006479999999999,0.751236,0.7162810000000001,0.68258,0.625839,0.5778439999999999,0.5778439999999999,0.5778439999999999,0.5778439999999999,0.49863599999999997,20,50.0
624,17.92,35,10,protocol,7.5,1200,24908,20.7567,3268,2291,0.70104,0.5656359999999999,0.502442,0.465725,0.435688,0.397568,0.35791999999999996,0.35791999999999996,0.35791999999999996,0.35791999999999996,0.503732,20,120.0
286,16.384,32,10,protocol,7.5,1700,42841,25.2006,6453,3979,0.6166119999999999,0.479274,0.41793800000000003,0.386164,0.360081,0.329079,0.29925799999999997,0.29925799999999997,0.29925799999999997,0.29925799999999997,0.482545,20,170.0
158,19.968,39,10,protocol,7.5,1200,22306,18.5883,3009,2136,0.70987,0.5695680000000001,0.49274399999999996,0.457272,0.424854,0.38138099999999997,0.342524,0.342524,0.342524,0.342524,0.48874399999999996,20,120.0
418,14.335999999999999,28,10,protocol,7.5,1700,30041,17.6712,7477,3743,0.500602,0.364832,0.318621,0.292631,0.27432199999999995,0.248993,0.22248600000000002,0.22248600000000002,0.22248600000000002,0.22248600000000002,0.483598,20,170.0
